id_1|id_2|german_group|english_group|english_labels
n02119789|1|Fuchs|Fox|kit fox, Vulpes macrotis
n02100735|2|Hund|Dog|English setter
n02110185|3|Hund|Dog|Siberian husky
n02096294|4|Hund|Dog|Australian terrier
n02102040|5|Hund|Dog|English springer, English springer spaniel
n02066245|6|Wal|Whale|grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
n02509815|7|Panda|Panda|lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
n02124075|8|Katze|Cat|Egyptian cat
n02417914|9|Steinbock|Ibex|ibex, Capra ibex
n02123394|10|Katze|Cat|Persian cat
n02125311|11|Wildkatze|Wild cat|cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
n02423022|12|Gazelle|Gazelle|gazelle
n02346627|13|Stachelschwein|Porcupine|porcupine, hedgehog
n02077923|14|Seelöwe|Sea lion|sea lion
n02110063|15|Hund|Dog|malamute, malemute, Alaskan malamute
n02447366|16|Dachs|Badger|badger
n02109047|17|Hund|Dog|Great Dane
n02089867|18|Hund|Dog|Walker hound, Walker foxhound
n02102177|19|Hund|Dog|Welsh springer spaniel
n02091134|20|Hund|Dog|whippet
n02092002|21|Hund|Dog|Scottish deerhound, deerhound
n02071294|22|Wal|Whale|killer whale, killer, orca, grampus, sea wolf, Orcinus orca
n02442845|23|Marder|Weasel|mink
n02504458|24|Elefant|Elephant|African elephant, Loxodonta africana
n02092339|25|Hund|Dog|Weimaraner
n02098105|26|Hund|Dog|soft-coated wheaten terrier
n02096437|27|Hund|Dog|Dandie Dinmont, Dandie Dinmont terrier
n02114712|28|Wolf|Wolf|red wolf, maned wolf, Canis rufus, Canis niger
n02105641|29|Hund|Dog|Old English sheepdog, bobtail
n02128925|30|Wildkatze|Wild cat|jaguar, panther, Panthera onca, Felis onca
n02091635|31|Hund|Dog|otterhound, otter hound
n02088466|32|Hund|Dog|bloodhound, sleuthhound
n02096051|33|Hund|Dog|Airedale, Airedale terrier
n02117135|34|Hyäne|Hyena|hyena, hyaena
n02138441|35|Erdmännchen|Meerkat|meerkat, mierkat
n02097130|36|Hund|Dog|giant schnauzer
n02493509|37|Affe|Monkey|titi, titi monkey
n02457408|38|Faultier|Sloth|three-toed sloth, ai, Bradypus tridactylus
n02389026|39|Pferd|Horse|sorrel
n02443484|40|Marder|Weasel|black-footed ferret, ferret, Mustela nigripes
n02110341|41|Hund|Dog|dalmatian, coach dog, carriage dog
n02089078|42|Hund|Dog|black-and-tan coonhound
n02086910|43|Hund|Dog|papillon
n02445715|44|Stinktier|Skunk|skunk, polecat, wood pussy
n02093256|45|Hund|Dog|Staffordshire bullterrier, Staffordshire bull terrier
n02113978|46|Hund|Dog|Mexican hairless
n02106382|47|Hund|Dog|Bouvier des Flandres, Bouviers des Flandres
n02441942|48|Marder|Weasel|weasel
n02113712|49|Hund|Dog|miniature poodle
n02113186|50|Hund|Dog|Cardigan, Cardigan Welsh corgi
n02105162|51|Hund|Dog|malinois
n02415577|52|Schaf|Sheep|bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02356798|53|Eichhörnchen|Squirrel|fox squirrel, eastern fox squirrel, Sciurus niger
n02488702|54|Affe|Monkey|colobus, colobus monkey
n02123159|55|Wildkatze|Wild cat|tiger cat
n02098413|56|Hund|Dog|Lhasa, Lhasa apso
n02422699|57|Antilope|Antelope|impala, Aepyceros melampus
n02114855|58|Wolf|Wolf|coyote, prairie wolf, brush wolf, Canis latrans
n02094433|59|Hund|Dog|Yorkshire terrier
n02111277|60|Hund|Dog|Newfoundland, Newfoundland dog
n02132136|61|Bär|Bear|brown bear, bruin, Ursus arctos
n02119022|62|Fuchs|Fox|red fox, Vulpes vulpes
n02091467|63|Hund|Dog|Norwegian elkhound, elkhound
n02106550|64|Hund|Dog|Rottweiler
n02422106|65|Antilope|Antelope|hartebeest
n02091831|66|Hund|Dog|Saluki, gazelle hound
n02120505|67|Fuchs|Fox|grey fox, gray fox, Urocyon cinereoargenteus
n02104365|68|Hund|Dog|schipperke
n02086079|69|Hund|Dog|Pekinese, Pekingese, Peke
n02112706|70|Hund|Dog|Brabancon griffon
n02098286|71|Hund|Dog|West Highland white terrier
n02095889|72|Hund|Dog|Sealyham terrier, Sealyham
n02484975|73|Affe|Monkey|guenon, guenon monkey
n02137549|74|Manguste|Mongoose|mongoose
n02500267|75|Lemur|Lemur|indri, indris, Indri indri, Indri brevicaudatus
n02129604|76|Wildkatze|Wild cat|tiger, Panthera tigris
n02090721|77|Hund|Dog|Irish wolfhound
n02396427|78|Wildschwein|Wild boar|wild boar, boar, Sus scrofa
n02108000|79|Hund|Dog|EntleBucher
n02391049|80|Zebra|Zebra|zebra
n02412080|81|Schaf|Sheep|ram, tup
n02108915|82|Hund|Dog|French bulldog
n02480495|83|Orang-Utan|Orangutan|orangutan, orang, orangutang, Pongo pygmaeus
n02110806|84|Hund|Dog|basenji
n02128385|85|Wildkatze|Wild cat|leopard, Panthera pardus
n02107683|86|Hund|Dog|Bernese mountain dog
n02085936|87|Hund|Dog|Maltese dog, Maltese terrier, Maltese
n02094114|88|Hund|Dog|Norfolk terrier
n02087046|89|Hund|Dog|toy terrier
n02100583|90|Hund|Dog|vizsla, Hungarian pointer
n02096177|91|Hund|Dog|cairn, cairn terrier
n02494079|92|Affe|Monkey|squirrel monkey, Saimiri sciureus
n02105056|93|Hund|Dog|groenendael
n02101556|94|Hund|Dog|clumber, clumber spaniel
n02123597|95|Katze|Cat|Siamese cat, Siamese
n02481823|96|Affe|Monkey|chimpanzee, chimp, Pan troglodytes
n02105505|97|Hund|Dog|komondor
n02088094|98|Hund|Dog|Afghan hound, Afghan
n02085782|99|Hund|Dog|Japanese spaniel
n02489166|100|Affe|Monkey|proboscis monkey, Nasalis larvatus
n02364673|101|Meerschweinchen|Guinea pig|guinea pig, Cavia cobaya
n02114548|102|Wolf|Wolf|white wolf, Arctic wolf, Canis lupus tundrarum
n02134084|103|Bär|Bear|ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
n02480855|104|Gorilla|Gorilla|gorilla, Gorilla gorilla
n02090622|105|Hund|Dog|borzoi, Russian wolfhound
n02113624|106|Hund|Dog|toy poodle
n02093859|107|Hund|Dog|Kerry blue terrier
n02403003|108|Ochse|Ox|ox
