old_label,new_label
kit fox,Fuchs
English setter,Hund
Siberian husky,Hund
Australian terrier,Hund
English springer,Hund
grey whale,Wal
lesser panda,Bär
Egyptian cat,Katze
ibex,Steinbock
Persian cat,Katze
cougar,Wildkatze
gazelle,Gazelle
porcupine,Stachelschwein
sea lion,Seelöwe
malamute,Hund
badger,Dachs
Great Dane,Hund
Walker hound,Hund
Welsh springer spaniel,Hund
whippet,Hund
Scottish deerhound,Hund
killer whale,Wal
mink,Marder
African elephant,Elefant
Weimaraner,Hund
soft-coated wheaten terrier,Hund
Dandie Dinmont,Hund
red wolf,Hund
Old English sheepdog,Hund
jaguar,Wildkatze
otterhound,Hund
bloodhound,Hund
Airedale,Hund
hyena,Hyäne
meerkat,Erdmännchen
giant schnauzer,Hund
titi,Affe
three-toed sloth,Faultier
sorrel,Sauerampfer
black-footed ferret,Marder
dalmatian,Hund
black-and-tan coonhound,Hund
papillon,Hund
skunk,Stinktier
Staffordshire bullterrier,Hund
Mexican hairless,Hund
Bouvier des Flandres,Hund
weasel,Marder
miniature poodle,Hund
Cardigan,Hund
malinois,Hund
bighorn,Schaf
fox squirrel,Eichhörnchen
colobus,Affe
tiger cat,Wildkatze
Lhasa,Hund
impala,Antilope
coyote,Hund
Yorkshire terrier,Hund
Newfoundland,Hund
brown bear,Bär
red fox,Fuchs
Norwegian elkhound,Hund
Rottweiler,Hund
hartebeest,Antilope
Saluki,Hund
grey fox,Fuchs
schipperke,Hund
Pekinese,Hund
Brabancon griffon,Hund
West Highland white terrier,Hund
Sealyham terrier,Hund
guenon,Affe
mongoose,Manguste
indri,Lemur
tiger,Wildkatze
Irish wolfhound,Hund
wild boar,Wildschwein
EntleBucher,Hund
zebra,Zebra
ram,Schaf
French bulldog,Hund
orangutan,Orang-Utan
basenji,Hund
leopard,Wildkatze
Bernese mountain dog,Hund
Maltese dog,Hund
Norfolk terrier,Hund
toy terrier,Hund
vizsla,Hund
cairn,Hund
squirrel monkey,Affe
groenendael,Hund
clumber,Hund
Siamese cat,Katze
chimpanzee,Affe
komondor,Hund
Afghan hound,Hund
Japanese spaniel,Hund
proboscis monkey,Affe
guinea pig,Meerschweinchen
white wolf,Wolf
ice bear,Bär
gorilla,Gorilla
borzoi,Hund
toy poodle,Hund
Kerry blue terrier,Hund
ox,Ochse
Scotch terrier,Hund
Tibetan mastiff,Hund
